id,name,name:uk,website,uwagi
node/362744908,Osiedlowy Dom Kultury Amik,Місцевий Будинок Культури Амік,http://odk.pulawy.pl/,
node/566829359,Dom Kultury Staroniwa,Будинок Культури Старонива,,
node/756900780,Klub Seniora,Клуб Пенсіонерів,,
node/1389216524,Przygraniczne Centrum Kultury i Rekreacji,Прикордонний Центр Культури і Рекреації,,
node/1783154028,Wiejski Dom Kultury w Bielińcu,Сільський Будинок Культури в Білинцю,,
node/1793477643,Koło gospodyń wiejskich,Гурток сільських домогосподарок,,
node/1848768842,Dom Ludowy w Lisznej,Громадський Будинок в Лішні,,
node/2014759880,Ośrodek Kultury w Sarzynie,Центр Культури в Сажині,http://www.kultura.nowasarzyna.eu/index.php/sarzyna.html;http://sarzyna.info/tag/osrodek-kultury/,
node/2181298871,Świetlica wiejska w Siedliszczu,Сільська зала в Седлищі,,
node/2202020502,Świetlica Wiejska,Сільська зала,,
node/2523426390,Dom kultury,Будинок Культури,,
node/2537424178,Świetlica wiejska w Szopinku,Сільська зала в Шопінку,,
node/2604103534,"Dom Kultury "" Błonie ""","Будинок Культури ""Блонe""",,
node/2604112432,Warsztaty Kultury w Lublinie,Майстерня Культури в Любліні,https://www.warsztatykultury.pl/,
node/2650819192,Gminny Ośrodek Pomocy Społecznej,Міський Центр Соціальної Допомоги,,
node/2934644977,Dom Ludowy,Громадський Будинок,http://www.lubenia.pl/index.php?action=pages_1&action_id=430,
node/3027711820,Ośrodek Kultury w Wiśniowej,Центр Культури в Вісньовій,http://okwisniowa.pl,
node/3541164158,Osiedlowy Dom Kultury SM Pomoc,Місцевий Будинок Культури ОСББ Допомога,,
node/3568620093,Siemacha Spot Rzeszów Millenium Hall,Siemacha Spot Жешув Мілленіум Хол,,
node/3625368599,Wiejski Dom Kultury,Сільський Будинок Культури,,
node/3997402632,Gminny Ośrodek Kultury,Міський Центр Культури,,
node/4015109637,"ODK ""Czerwoniak""","Місцевий Будинок Культури ""Червоняк""",,
