id,healthcare,name,name:ru,name:uk,uwagi
way/868128298,blood_donation,Centrum Krwiodawstwa,Воеводская станция переливания крови,Воєводська станція переливання крові,
node/9537592771,blood_donation,Centrum Krwiodawstwa i Krwiolecznictwa Ministerstwa Spraw Wewnętrznych i Administracji,Станция переливания и лечения крови МВС и Администрации,Станція переливання та лікування крові МВС та Адміністрації,
node/4758777267,blood_donation,Centrum Krwiodastwa,Станция переливания крови,Станція переливання крові,
node/5032909240,blood_donation,Oddział Terenowy Nr 36 Regionalne Centrum Krwiodawstwa i Krwiolecznictwa w Warszawie,Местное одделение №36 Региональной Станции переливания и лечения крови в Варшаве,Місцеве відділення № 36 Регіональної Станції Переливання та Лікування крові в Варшаві,
node/4530067270,blood_donation,Punkt krwiodawstwa,Пункт сдачи крови,Пункт здачі крові,
node/9209462648,blood_donation,Punkt pobrań Dnem-Med,Пункт забора крови Dnem-Med,Пункт забору крові Dnem-Med,
node/9535989920,blood_donation,Regionalne Centrum Krwiodawstwa i Krwiolecznictwa Lublin,Региональная Станция Переливания и Лечения Крови Люблин,Регіональна Станція переливання та лікування крові в Любліні,
node/9535989919,blood_donation,Regionalne Centrum Krwiodawstwa i Krwiolecznictwa Lublin Oddział Terenowy Biała Podlaska,Местное Одделение Региональной Станции Переливания и Лечения Крови Бяла-Подласка,Місцеве Відділення Регіональної Станції Переливання та Лікування крові Бяла-Підляська,
node/9535989921,blood_donation,Regionalne Centrum Krwiodawstwa i Krwiolecznictwa Lublin Oddział Terenowy Chełm,Местное Одделение Региональной Станции Переливания и Лечения Крови Хелм,Місцеве Відділення Регіональної Станції Переливання та Лікування крові Хелм,
node/9535956416,blood_donation,Regionalne Centrum Krwiodawstwa i Krwiolecznictwa Lublin Oddział Terenowy Kraśnik,Местное Одделение Региональной Станции Переливания и Лечения Крови Крашник,Місцеве Відділення Регіональної Станції Переливання та Лікування крові Крашнік,
node/9535989917,blood_donation,Regionalne Centrum Krwiodawstwa i Krwiolecznictwa Lublin Oddział Terenowy Kraśnik,Местное Одделение Региональной Станции Переливания и Лечения Крови Крашник,Місцеве Відділення Регіональної Станції Переливання та Лікування крові Крашнік,
node/9535956413,blood_donation,Regionalne Centrum Krwiodawstwa i Krwiolecznictwa Lublin Oddział Terenowy Lubartów,Местное Одделение Региональной Станции Переливания и Лечения Крови Любартов,Місцеве Відділення Регіональної Станції Переливання та Лікування крові Любартув,
node/9535989922,blood_donation,Regionalne Centrum Krwiodawstwa i Krwiolecznictwa Lublin Oddział Terenowy Łuków,Местное Одделение Региональной Станции Переливания и Лечения Крови Лукув,Місцеве Відділення Регіональної Станції Переливання та Лікування крові Луків,
node/9535956414,blood_donation,Regionalne Centrum Krwiodawstwa i Krwiolecznictwa Lublin Oddział Terenowy Tomaszów Lubelski,Местное Одделение Региональной Станции Переливания и Лечения Крови Томашув-Любельский,Місцеве Відділення Регіональної Станції Переливання та Лікування крові Томашів-Любельський,
node/9535956412,blood_donation,Regionalne Centrum Krwiodawstwa i Krwiolecznictwa Lublin Oddział Terenowy Włodawa,Местное Одделение Региональной Станции Переливания и Лечения Крови Влодава,Місцеве Відділення Регіональної Станції Переливання та Лікування крові Влодава,
node/9535956411,blood_donation,Regionalne Centrum Krwiodawstwa i Krwiolecznictwa Lublin Oddział Terenowy Zamość,Местное Одделение Региональной Станции Переливания и Лечения Крови Замость,Місцеве Відділення Регіональної Станції Переливання та Лікування крові Замость,
node/9538256514,blood_donation,Regionalne Centrum Krwiodawstwa i Krwiolecznictwa w Kielcach Oddział Terenowy Końskie,Местное Одделение Региональной Станции Переливания и Лечения Крови Конське,Місцеве Відділення Регіональної Станції Переливання та Лікування крові Конське,
node/9538256516,blood_donation,Regionalne Centrum Krwiodawstwa i Krwiolecznictwa w Kielcach Oddział Terenowy Ostrowiec Świętokrzyski,Местное Одделение Региональной Станции Переливания и Лечения Крови Островец-Свентокшиский,Місцеве Відділення Регіональної Станції Переливання та Лікування крові Островець-Свентокшиський,
node/9538256513,blood_donation,Regionalne Centrum Krwiodawstwa i Krwiolecznictwa w Kielcach Oddział Terenowy Sandomierz,Местное Одделение Региональной Станции Переливания и Лечения Крови Сандомир,Місцеве Відділення Регіональної Станції Переливання та Лікування крові Сандомир,
node/9538256515,blood_donation,Regionalne Centrum Krwiodawstwa i Krwiolecznictwa w Kielcach Oddział Terenowy Skarżysko-Kamienna,Местное Одделение Региональной Станции Переливания и Лечения Крови Скаржиско-Каменна,Місцеве Відділення Регіональної Станції Переливання та Лікування крові Скаржисько-Каменна,
