id,place,name,name:ru,name:uk,uwagi
node/598899114,town,Aleksandrów Kujawski,Александрув-Куявский,Олександрів Куявський,
node/31881622,town,Aleksandrów Łódzki,Александрув-Лодзинский,Олександрів Лодзкі,
node/31903013,town,Alwernia,Альверня,Альверня,
node/271748533,town,Andrychów,Андрыхув,Андрихув,
node/371978037,town,Annopol,Аннополь,Аннополь,
node/1755364645,town,Augustów,Августов,Августів,
node/31628010,town,Babimost,Бабимост,Бабімост,
node/602101718,town,Baborów,Баборув,Баборув,
node/31899479,town,Baranów Sandomierski,Баранув-Сандомерский,Баранів Сандомєжський,
node/598905046,town,Barcin,Барцин,Барцін,
node/31527705,town,Barczewo,Барчево,Барчево,
node/299298256,town,Bardo,Бардо,Бардо,
node/126123967,town,Barlinek,Барлинек,Барлінек,
node/31527468,town,Bartoszyce,Бартошице,Бартошице,
node/1758659806,town,Barwice,Барвице,Барвіце,
node/31902942,town,Będzin,Бендзин,Бендзин,
node/1758913960,town,Bełchatów,Белхатув,Белхатув,
node/31878133,town,Bełżyce,Белжице,Белжице,
node/596446095,town,Biała,Бяла,Бяла,
node/31578082,town,Biała Piska,Бяла-Писка,Бяла Піска,
node/31702832,city,Biała Podlaska,Бяла-Подляска,Біла Підляська,
node/31878124,town,Biała Rawska,Бяла-Равска,Біла Равська,
node/368033785,town,Białobrzegi,Бялобжеги,Бялобжегі,
node/31347663,town,Białogard,Бялогард,Білогард,
node/31347652,town,Biały Bór,Бялы-Бур,Білава,
node/60038888,city,Białystok,Белосток,Білосток,
node/1763537474,town,Biecz,Беч,Беч,
node/613084173,town,Bielawa,Белява,Белява,
node/265615741,town,Bielsk Podlaski,Бельск-Подляски,Більськ Підляський,
node/253523175,city,Bielsko-Biała,Бельско-Бяла,Бельсько-Бяла,
node/31902885,town,Bieruń,Берунь,Берунь,
node/31811432,town,Bierutów,Берутув,Берутув,
node/283931972,town,Bieżuń,Бежунь,Бежунь,
node/371948750,town,Biłgoraj,Билгорай,Білгорай,
node/31526938,town,Biskupiec,Бискупец,Біскупець,
node/31526315,town,Bisztynek,Биштынек,Біштинек,
node/597719872,town,Blachownia,Бляховня,Бляховня,
node/31811278,town,Błaszki,Блашки,Блашкі,
node/566488640,town,Błażowa,Блажова,Блажова,
node/31702473,town,Błonie,Блоне,Блоне,
node/1758659795,town,Bobolice,Боболице,Боболіце,
node/1854936771,town,Bobowa,Бобова,Бобова,
node/248045354,town,Bochnia,Бохня,Бохня,
node/31899213,town,Bodzentyn,Бодзентын,Бодзентин,
node/190630506,town,Bogatynia,Богатыня,Богатиня,
node/1854936780,town,Boguchwała,Богухвала,Богухвала,
node/1770680178,town,Boguszów-Gorce,Богушув-Горце,Богушув-Горце,
node/31810993,town,Bojanowo,Бояново,Бояново,
node/2175222542,town,Bolesławiec,Болеславец,Болеславець,
node/292137678,town,Bolimów,Болимув,Болімув,
node/268947528,town,Bolków,Болькув,Болькув,
node/31810856,town,Borek Wielkopolski,Борек-Велькопольский,Борек-Велькопольский,
node/31580922,town,Borne Sulinowo,Борне-Сулиново,Борне-Суліново,
node/1838553920,town,Braniewo,Бранево,Бранево,
node/599266728,town,Brańsk,Браньск,Браньськ,
node/82782266,town,Brodnica,Бродница,Бродніца,
node/602099835,town,Brok,Брок,Брок,
node/31532482,town,Brusy,Брусы,Бруси,
node/31701866,town,Brwinów,Брвинув,Брвінув,
node/394581481,town,Brzeg,Бжег,Бжеґ (місто),
node/31810259,town,Brzeg Dolny,Бжег-Дольны,Бжег-Дольний,
node/598898210,town,Brześć Kujawski,Бжесьц Куявськи,Бжесьць Куявський,
node/268608330,town,Brzesko,Бжеско,Бжеско,
node/1854936792,town,Brzeszcze,Бжеще,Бжеще,
node/60121372,town,Brzeziny,Бжезины,Бжезіни,
node/38403574,town,Brzostek,Бжостек,Бжостек,
node/1848786444,town,Brzozów,Бжозув,Березів,
node/258335358,town,Budzyń,Будзинь,Будзинь,
node/31626656,town,Buk,Бук,Бук,
node/31902615,town,Bukowno,Буковно,Буковно,
node/31898571,town,Busko-Zdrój,Буско-Здруй,Буско Здруй,
node/371949192,town,Bychawa,Быхава,Бихава,
node/31809727,town,Byczyna,Бычина,Бичина,
node/31337673,city,Bydgoszcz,Быдгощ,Бидґощ,
node/282215860,town,Bystrzyca Kłodzka,Быстшица-Клодзка,Бистшиця-Клодзька,
node/171379806,city,Bytom,Бытом,Битом,
node/31809716,town,Bytom Odrzański,Бытом-Оджаньский,Битом Оджаньські,
node/1775164003,town,Bytów,Бытув,Битув,
node/290681189,town,Cedynia,Цединя,Цединя,
node/1854936819,town,Cegłów,Цеглув,Цеґлув,
node/339828805,town,Chęciny,Хенцины,Хенціни,
node/253543591,city,Chełm,Хелм,Холм,
node/692604365,town,Chełmek,Хелмек,Хелмек,
node/31592442,town,Chełmno,Хелмно,Хелмно,
node/31592428,town,Chełmża,Хелмжа,Хелмжа,
node/1854936827,town,Chmielnik,Хмельник,Хмельник,
node/31809141,town,Chocianów,Хоцянув,Хоцянув,
node/31592354,town,Chociwel,Хоцивель,Хоцивель,
node/31809028,town,Chocz,Хоч,Хоч,
node/31710448,town,Chodecz,Ходеч,Ходеч,
node/258335409,town,Chodzież,Ходзеж,Ходзеж,
node/256330580,town,Chojna,Хойна,Хойна,
node/26432853,town,Chojnice,Хойнице,Хойніце,
node/31808857,town,Chojnów,Хойнув,Хойнув,
node/31577715,town,Choroszcz,Хорощ,Хорощ,
node/31577714,town,Chorzele,Хожеле,Хожеле,
node/29573582,city,Chorzów,Хожув,Хожув,
node/31592326,town,Choszczno,Хощно,Хощно,
node/31902474,town,Chrzanów,Хшанув,Хшанув,
node/52831102,town,Ciechanów,Цеханув,Цеханув,
node/1818704253,town,Ciechanowiec,Цехановец,Цехановец,
node/598900398,town,Ciechocinek,Цехоцинек,Цехоцінек,
node/31897853,town,Cieszanów,Цешанув,Цешанув,
node/327364412,town,Cieszyn,Цешин,Цешин,
node/1855033871,town,Ciężkowice,Ченжковице,Ценжковіце,
node/31897710,town,Ćmielów,Чмелюв,Чмелюв,
node/31626050,town,Cybinka,Цыбинка,Цибінка,
node/1758660004,town,Czaplinek,Чаплинек,Чаплінек,
node/31577634,town,Czarna Białostocka,Чарна-Белостоцка,Чарна Бялостоцка,
node/31532349,town,Czarna Woda,Чарна-Вода,Чарна Вода,
node/31347464,town,Czarne,Чарне,Чарне,
node/252871016,town,Czarnków,Чарнкув,Чарнкув,
node/685489014,town,Czchów,Чхув,Чхув,
node/1855033873,town,Czechowice-Dziedzice,Чеховице-Дзедзице,Чеховіце Дзедзіце,
node/31902399,town,Czeladź,Челядзь,Челядзь,
node/31625975,town,Czempiń,Чемпинь,Чемпінь,
node/31625942,town,Czerniejewo,Чернеево,Чернеєво,
node/31532334,town,Czersk,Черск,Черск,
node/692603548,town,Czerwieńsk,Червенск,Червеньск,
node/31700401,town,Czerwińsk nad Wisłą,Червинск на реке Висла,Червіньск на річці Вісла,
node/692604910,town,Czerwionka-Leszczyny,Червёнка-Лещины,Червйонка-Лещини,
node/31902385,city,Częstochowa,Ченстохова,Ченстохова,
node/31591862,town,Człopa,Члопа,Члопа,
node/30301803,town,Człuchów,Члухув,Члухув,
node/31598114,town,Czyżew,Чижев,Чижев,
node/31625880,town,Dąbie,Домбе,Домбе,
node/1755364655,town,Dąbrowa Białostocka,Домброва-Белостоцкая,Домброва Білостоцька,
node/1507719599,city,Dąbrowa Górnicza,Домброва-Гурнича,Домброва Гурніча,
node/31896633,town,Dąbrowa Tarnowska,Домброва-Тарновска,Домброва Тарновська,
node/31896315,town,Daleszyce,Далешице,Далешице,
node/31347434,town,Darłowo,Дарлово,Дарлово,
node/31895072,town,Dębica,Дембица,Дембиця,
node/1854936845,town,Dęblin,Демблин,Демблін,
node/393952241,town,Dębno,Дембно,Дембно,
node/31591564,town,Debrzno,Дебжно,Дебжно,
node/508068396,town,Dobczyce,Добчице,Добчице,
node/257422860,town,Dobiegniew,Добегнев,Добегнев,
node/529115993,town,Dobra,Добра,Добра,
node/1758659807,town,Dobra,Добра,Добра,
node/31525100,town,Dobre Miasto,Добре Място,Добре Місто,
node/570758201,town,Dobrodzień,Добродзень,Добродзень,
node/1758659854,town,Dobrzany,Добжаны,Добжани,
node/692632647,town,Dobrzyca,Добжица,Добжица,
node/1867069606,town,Dobrzyń nad Wisłą,Добжинь на реке Висла,Добжинь на річці Вісла,
node/268225193,town,Dolsk,Дольск,Дольск,
node/31591344,town,Drawno,Дравно,Дравно,
node/1758659809,town,Drawsko Pomorskie,Дравско-Поморске,Дравско Поморске,
node/477361544,town,Drezdenko,Дрезденко,Дрезденко,
node/500751187,town,Drobin,Дробин,Дробін,
