id,name,name:ru,name:uk,uwagi
node/598899114,Aleksandrów Kujawski,Александрув-Куявский,Олександрів Куявський,
node/31881622,Aleksandrów Łódzki,Александрув-Лодзинский,Олександрів Лодзкі,
node/31903013,Alwernia,Альверня,Альверня,
node/271748533,Andrychów,Андрыхув,Андрихув,
node/371978037,Annopol,Аннополь,Аннополь,
node/1755364645,Augustów,Августов,Августів,
node/31628010,Babimost,Бабимост,Бабімост,
node/602101718,Baborów,Баборув,Баборув,
node/31899479,Baranów Sandomierski,Баранув-Сандомерский,Баранів Сандомєжський,
node/598905046,Barcin,Барцин,Барцін,
node/31527705,Barczewo,Барчево,Барчево,
node/299298256,Bardo,Бардо,Бардо,
node/126123967,Barlinek,Барлинек,Барлінек,
node/31527468,Bartoszyce,Бартошице,Бартошице,
node/1758659806,Barwice,Барвице,Барвіце,
node/31902942,Będzin,Бендзин,Бендзин,
node/1758913960,Bełchatów,Белхатув,Белхатув,
node/31878133,Bełżyce,Белжице,Белжице,
node/596446095,Biała,Бяла,Бяла,
node/31578082,Biała Piska,Бяла-Писка,Бяла Піска,
node/31702832,Biała Podlaska,Бяла-Подляска,Біла Підляська,
node/31878124,Biała Rawska,Бяла-Равска,Біла Равська,
node/368033785,Białobrzegi,Бялобжеги,Бялобжегі,
node/31347663,Białogard,Бялогард,Білогард,
node/31347652,Biały Bór,Бялы-Бур,Білава,
node/60038888,Białystok,Белосток,Білосток,
node/1763537474,Biecz,Беч,Беч,
node/613084173,Bielawa,Белява,Белява,
node/265615741,Bielsk Podlaski,Бельск-Подляски,Більськ Підляський,
node/253523175,Bielsko-Biała,Бельско-Бяла,Бельсько-Бяла,
node/31902885,Bieruń,Берунь,Берунь,
node/31811432,Bierutów,Берутув,Берутув,
node/283931972,Bieżuń,Бежунь,Бежунь,
node/371948750,Biłgoraj,Билгорай,Білгорай,
node/31526938,Biskupiec,Бискупец,Біскупець,
node/31526315,Bisztynek,Биштынек,Біштинек,
node/597719872,Blachownia,Бляховня,Бляховня,
node/31811278,Błaszki,Блашки,Блашкі,
node/566488640,Błażowa,Блажова,Блажова,
node/31702473,Błonie,Блоне,Блоне,
node/1758659795,Bobolice,Боболице,Боболіце,
node/1854936771,Bobowa,Бобова,Бобова,
node/248045354,Bochnia,Бохня,Бохня,
node/31899213,Bodzentyn,Бодзентын,Бодзентин,
node/190630506,Bogatynia,Богатыня,Богатиня,
node/1854936780,Boguchwała,Богухвала,Богухвала,
node/1770680178,Boguszów-Gorce,Богушув-Горце,Богушув-Горце,
node/31810993,Bojanowo,Бояново,Бояново,
node/2175222542,Bolesławiec,Болеславец,Болеславець,
node/292137678,Bolimów,Болимув,Болімув,
node/268947528,Bolków,Болькув,Болькув,
node/31810856,Borek Wielkopolski,Борек-Велькопольский,Борек-Велькопольский,
node/31580922,Borne Sulinowo,Борне-Сулиново,Борне-Суліново,
node/1838553920,Braniewo,Бранево,Бранево,
node/599266728,Brańsk,Браньск,Браньськ,
node/82782266,Brodnica,Бродница,Бродніца,
node/602099835,Brok,Брок,Брок,
node/31532482,Brusy,Брусы,Бруси,
node/31701866,Brwinów,Брвинув,Брвінув,
node/394581481,Brzeg,Бжег,Бжеґ (місто),
node/31810259,Brzeg Dolny,Бжег-Дольны,Бжег-Дольний,
node/598898210,Brześć Kujawski,Бжесьц Куявськи,Бжесьць Куявський,
node/268608330,Brzesko,Бжеско,Бжеско,
node/1854936792,Brzeszcze,Бжеще,Бжеще,
node/60121372,Brzeziny,Бжезины,Бжезіни,
node/38403574,Brzostek,Бжостек,Бжостек,
node/1848786444,Brzozów,Бжозув,Березів,
node/258335358,Budzyń,Будзинь,Будзинь,
node/31626656,Buk,Бук,Бук,
node/31902615,Bukowno,Буковно,Буковно,
node/31898571,Busko-Zdrój,Буско-Здруй,Буско Здруй,
node/371949192,Bychawa,Быхава,Бихава,
node/31809727,Byczyna,Бычина,Бичина,
node/31337673,Bydgoszcz,Быдгощ,Бидґощ,
node/282215860,Bystrzyca Kłodzka,Быстшица-Клодзка,Бистшиця-Клодзька,
node/171379806,Bytom,Бытом,Битом,
node/31809716,Bytom Odrzański,Бытом-Оджаньский,Битом Оджаньські,
node/1775164003,Bytów,Бытув,Битув,
node/290681189,Cedynia,Цединя,Цединя,
node/1854936819,Cegłów,Цеглув,Цеґлув,
node/339828805,Chęciny,Хенцины,Хенціни,
node/253543591,Chełm,Хелм,Холм,
node/692604365,Chełmek,Хелмек,Хелмек,
node/31592442,Chełmno,Хелмно,Хелмно,
node/31592428,Chełmża,Хелмжа,Хелмжа,
node/1854936827,Chmielnik,Хмельник,Хмельник,
node/31809141,Chocianów,Хоцянув,Хоцянув,
node/31592354,Chociwel,Хоцивель,Хоцивель,
node/31809028,Chocz,Хоч,Хоч,
node/31710448,Chodecz,Ходеч,Ходеч,
node/258335409,Chodzież,Ходзеж,Ходзеж,
node/256330580,Chojna,Хойна,Хойна,
node/26432853,Chojnice,Хойнице,Хойніце,
node/31808857,Chojnów,Хойнув,Хойнув,
node/31577715,Choroszcz,Хорощ,Хорощ,
node/31577714,Chorzele,Хожеле,Хожеле,
node/29573582,Chorzów,Хожув,Хожув,
node/31592326,Choszczno,Хощно,Хощно,
node/31902474,Chrzanów,Хшанув,Хшанув,
node/52831102,Ciechanów,Цеханув,Цеханув,
node/1818704253,Ciechanowiec,Цехановец,Цехановец,
node/598900398,Ciechocinek,Цехоцинек,Цехоцінек,
node/31897853,Cieszanów,Цешанув,Цешанув,
node/327364412,Cieszyn,Цешин,Цешин,
node/1855033871,Ciężkowice,Ченжковице,Ценжковіце,
node/31897710,Ćmielów,Чмелюв,Чмелюв,
node/31626050,Cybinka,Цыбинка,Цибінка,
node/1758660004,Czaplinek,Чаплинек,Чаплінек,
node/31577634,Czarna Białostocka,Чарна-Белостоцка,Чарна Бялостоцка,
node/31532349,Czarna Woda,Чарна-Вода,Чарна Вода,
node/31347464,Czarne,Чарне,Чарне,
node/252871016,Czarnków,Чарнкув,Чарнкув,
node/685489014,Czchów,Чхув,Чхув,
node/1855033873,Czechowice-Dziedzice,Чеховице-Дзедзице,Чеховіце Дзедзіце,
node/31902399,Czeladź,Челядзь,Челядзь,
node/31625975,Czempiń,Чемпинь,Чемпінь,
node/31625942,Czerniejewo,Чернеево,Чернеєво,
node/31532334,Czersk,Черск,Черск,
node/692603548,Czerwieńsk,Червенск,Червеньск,
node/31700401,Czerwińsk nad Wisłą,Червинск на реке Висла,Червіньск на річці Вісла,
node/692604910,Czerwionka-Leszczyny,Червёнка-Лещины,Червйонка-Лещини,
node/31902385,Częstochowa,Ченстохова,Ченстохова,
node/31591862,Człopa,Члопа,Члопа,
node/30301803,Człuchów,Члухув,Члухув,
node/31598114,Czyżew,Чижев,Чижев,
node/31625880,Dąbie,Домбе,Домбе,
node/1755364655,Dąbrowa Białostocka,Домброва-Белостоцкая,Домброва Білостоцька,
node/1507719599,Dąbrowa Górnicza,Домброва-Гурнича,Домброва Гурніча,
node/31896633,Dąbrowa Tarnowska,Домброва-Тарновска,Домброва Тарновська,
