id,name,name:ru,name:uk,wikidata,uwagi
node/1754603419,Adamów,Адамов,Адамів,,
node/2277745258,Andrychów Osiedle Pętla,Жилой комплекс Андрыхувская Петля,Житловий коплекс Андрихувська Петля,,
node/1409863314,Barcin,Барчин,Барчин,,
node/1561740666,Błaszki,Блашки,Блашкі,,
node/6596574906,Bukowina Tatrzańska Terma,Татчанские Буковинские Термы,Татчанські Буковинські Терми,,
node/1511342321,Bulwar Narwiku,Набережная Нарвика,Набережна Нарвіка,,
node/449674910,Bytom Dworzec,Железнодорожный Вокзал Бытом,Залізничний вокзал Битом,,
node/8954153433,Centrum Przesiadkowe Końskie,Центральный пересадочный пункт Коньске,Центральний пересадковий пункт Конськє,,
node/8212786186,Centrum Przesiadkowe w Sączowie,Центральный пересадочный пункт в Сончу,Центральний пересадковий пункт у Сончу,,
node/9136491480,Chojna Szczecińska d.k. 01,Хойна Щечинская ,Хойна Щечинська,,
node/459200122,Chyrowa dół,Низ Гирова,Низ Гирова,,
node/5223551660,Dębno Lubuskie p.dw. 01,Дембно Лубуское,Дембно Лубуське,,
node/2598466186,Dobiegniew,Добегнев,Добеґнів,,
node/371643044,Dworzec autobusowy «Biłgoraj»,Автовокзал Билгорай,Автовокзал Білгорай,,
node/5348545200,Dworzec autobusowy Czaplinek,Автовокзал Чаплинек,Автовокзал Чаплінек,,
node/5599183755,Dworzec Autobusowy Lesko,Автовокзал Леско,Автовокзал Лісько,,
node/1193707739,Dworzec Autobusowy Myślenice,Автовокзал Мысленице,Автовокзал Мислениці,,
node/4359906151,Dworzec Autobusowy OPKS Opole,Автовокзал Ополе,Автовокзал Ополе,,
node/919481782,Dworzec autobusowy PKS,Автовокзал Государственый автомобильный транспорт,Автовокзал Державні автомобільні комунікації,,
node/2261092594,Dworzec Autobusowy PKS,Автовокзал Государственый автомобильный транспорт,Автовокзал,,
node/4051464852,Dworzec Autobusowy PKS,Автовокзал Государственый автомобильный транспорт,Автовокзал,,
node/6202567240,Dworzec Autobusowy Polanów,Автовокзал Полянув,Автовокзал Полянув,,
node/5204761423,Dworzec autobusowy Połczyn Zdrój,Автовокзал Полчин-Здруй,Автовокзал Полчин-Здруй,,
node/885681188,Dworzec Autobusowy Puck,Автовокзал Пуцк,Автовокзал Пуцьк,,
node/3566515998,Dworzec Autobusowy Sędziszów Małopolski,Автовокзал Сендзишув-Малопольски,Автовокзал Сендзішув-Малопольський,,
node/6568749158,Dworzec autobusowy Szczecinek,Автовокзал Щецинек,Автовокзал Щецинек,,
node/871740648,Dworzec Autobusowy w Lesznie,Автовокзал в Лешно,Автовокзал в Лешно,,
node/4479749090,Dworzec Autobusowy w Lubaniu.,Автовокзал в Любани,Автовокзал в Любані,,
node/2286786501,Dworzec Autobusowy w Tarnowskich Górach,Автовокзал Тарновске-Гуры,Автовокзал Тарновські-Гури,,
node/1833188353,Dworzec autobusowy w Tczewie,Автовокзал Тчев,Автовокзал Тчев,,
node/5600010691,Dworzec autobusowy w Żywcu,Автовокзал Живец,Автовокзал Живець,,
node/3353790972,Dworzec Autobusowy Wieluń,Автовокзал Велюнь,Автовокзал Велюнь,,
node/5215662142,Dworzec Autobusowy Wrocław,Автовокзал Вроцлав,Автовокзал Вроцлав,Q42799456,
node/302913143,Dworzec Autobusowy Zachodni,Западный автовокзал Варшава,Заходній Автовокзал Варшава,,
node/2522619533,Dworzec BUS Mielczarskiego,Автовокзал Мельчарскего,Автовокзал Мільчарськего,,
node/2504090271,Dworzec BUS Żelazna,Автовокзал Желязно,Автовокзал Желязно,,
node/2167664740,Dworzec Główny,Главный Железодорожный вокзал,Головний Залізничний вокзал,,
node/1093256225,Dworzec Główny PKS,Главный Автовокзал ,Головний Автовокзал,,
node/5398764943,Dworzec Jordanów,Железнодорожный Вокзал Йорданув,Залізничний Вокзал Йорданув,,
node/2615726509,Dworzec Łęczna,Железнодорожный Вокзал Ленчна,Залізничний Вокзал Ленчна,,
node/7471987670,Dworzec MZK Żywiec,Автовокзал Живец,Автовокзал Живець,,
node/1842142320,Dworzec PKS - Baranów Sandomierski,Автовокзал Баранув-Сандомерский,Автовокзал Баранув-Сандомирський,,
node/1469251316,Dworzec PKS - Nowa Dęba,Автовокзал Нова-Демба,Автовокзал Нова-Демба,,
node/607991960,Dworzec PKS Limanowa,Автовокзал Лиманова,Автовокзал Ліманова,,
node/6037583891,Dworzec PKS Mieścisko,Автовокзал Мечиско,Автовокзал Мечісько,,
node/9219447829,Dworzec PKS Nova,Автовокзал Нова,Автовокзал Нова-Демба,,
node/8612681352,Dworzec PKS Strzyżów nad Wisłokiem,Автовокзал Стшижув над Вислокем,Автовокзал Стрижів над Віслокем,,
node/4471568959,Dworzec PKS Złotoryja,Автовокзал Злоторыя,Автовокзал Злотория,,
node/6021423968,Dzierżoniów,Дзержонюв,Дзержонюв,,
node/8049969753,Fabryka Śrub,Винтовой завод,Гвинтова фабрика,,
node/4417887377,Falenica,Фаленица,Фалениця,,
node/4703028889,Faster,Фастер,Фастер,,
node/462696309,Gliwice d.a.,Автовокзал Гливице,Автовокзал Гливиці,,
node/2636086324,Głogówek D.A.,Автовокзал Глогувек,Автовокзал Глогувек,,
node/1568454145,Głosków szkoła,Школа в Глоскове,Школа в Ґлоскові,,
node/248988944,Gocław,Гоцлав,Гоцлав,,
node/3049244740,Gorlicki Dworzec Autobusowy,Автовокзал Горлице,Автовокзал Горлиці,,
node/1564402575,Górzyniec,Гужинец,Гужинець,,
node/4254996030,Grabie Pętla,Грабе Петля,Грабє Петля,,
node/2030359154,Gryfino,Грифино,Грифіно,,
node/4010284589,Ińsko,Иньско,Иньсько,,
node/1659297913,Kępno Dworzec Autobusowy,Автовокзал Кемпно,Автовокзал Кемпно,,
node/7570094623,Kock Pl. Anny Jabłonowskiej,Коцк площадь Анны Яблоновской,Коцк площа Анни Яблоновської,,
node/6815533489,Kocoń III,Коцонь ІІІ,Коцонь ІІІ,,
node/2146564165,Kolejowa / Dworzec,Железнодорожный / Вокзал,Залізничний / Вокзал,,
node/2963321476,Kolno D.A.,Автовокзал Колно,Автовокзал Колно,,
