id,addr:city,amenity,name,name:uk,fixme:name:uk
node/5416668230,,school,"""Ekonomik""","""Економік""",
way/201593343,Rzeszów,school,British School,British School (Британська школа),
node/4083091054,Chełm,school,Empik School,Empik School (Школа Емпік),
node/4036524771,Biała Podlaska,school,Leader School,Leader School (Школа лідера),
node/3861260560,,school,LektoR - Szkoła Języków Obcych,LektoR - Школа іноземних мов,
node/6410032175,Lublin,school,Leonardo School Lublin,Leonardo School (Школа Леонардо) Люблін,
way/169043838,Zamość,school,Smart School,Smart School (Розумна Школа),
node/3372613117,Rzeszów,school,Akademickie Liceum Ogólnokształcące,Академічний загальноосвітній ліцей,
way/626538557,,school,"Stowarzyszenie Edukator w Łomży, Szkoła Podstawowa w Uhrusku","Асоціація Едукатор у Ломзі, Початкова школа в Угруську",
node/9545456927,,school,Stowarzyszenie Edukator w Łomży Publiczna Szkoła Podstawowa w Macoszynie Dużym,"Асоціація Едукатор у Ломзі, Публічна початкова школа в Мацошині-Дужим",
node/1787189566,Lublin,school,Best,Бест,
node/5026088541,Lublin,school,BEST Centrum Językowe,БЕСТ Мовний Центр,
way/379373336,,school,Bieszczadzki Zespół Szkół Zawodowych,Бещадський комплекс ПТУ,
node/362755187,Góra Puławska,school,Biblioteka Gminna,Бібліотека Гміни,
node/2862420279,,school,Branżowa Szkoła Leśna I Stopnia,Галузева лісова школа І ступеня,
node/2080923833,,school,Branżowa szkoła I stopnia,Галузева школа І ступеня,
node/7959437438,,school,Branżowa Szkoła I Stopnia,Галузева школа І ступеня,
node/9348812143,,school,Branżowa Szkoła I Stopnia nr 1,Галузева школа І ступеня №1,
node/9210369332,,school,Branżowa szkoła I stopnia nr 2,Галузева школа І ступеня №2,
node/9348812149,,school,Branżowa szkoła I stopnia nr 3,Галузева школа І ступеня №3,
node/6938845477,,school,Branżowa Szkoła I stopnia w Żółkiewce,Галузева школа І ступеня в Жовківці,
node/6925731697,,school,Branżowa Szkoła I Stopnia w Korolówce-Osadzie,Галузева школа І ступеня в Королівці-Осаджі,
node/9210369331,,school,Branżowa szkoła II stopnia nr 2,Галузева школа ІІ ступеня №2,
node/9348812146,,school,Branżowa szkoła II stopnia nr 3,Галузева школа ІІ ступеня №3,
way/402475348,,school,Gminne Centrum Edukacji Ekologicznej,Гмінний Центр Екологічної Освіти,
way/729379202,,school,Gminny Zespół Szkół w Kazimierzu Dolnym,Гмінний шкільний комплекс в Казімежу-Дольним,
way/373825899,,school,Górka,Гурка,
way/274136191,,school,Państwowa Szkoła Muzyczna I i II st. w Sanoku,Державна Музична Школа І і ІІ ст. в Саноку,
