id,name,name:uk,website,uwagi
way/360488467,6 Szpital Wojskowy z Przychodnią,6 Військовий Госпіталь і Диспансер,http://www.szpitaldeblin.pl,
way/222608537,Arion ZOZ,Аріон ЗОЗ,,
way/280451563,Arion ZOZ,Аріон ЗОЗ,,
node/3474640309,"Bezpłatna Szkoła Rodzenia ""Twoja Położna""",Безкоштовна школа пологів «Твоя Положна»,,
way/998239942,Caritas Centrum Medyczno-Charytatywne im. Św. Józefa w Przemyślu,Медико-благодійний центр «Карітас». св. Юзефа в Перемишлі,,
way/997985077,Centrum Leczenia Ambulatoryjnego nr.2,Центр амбулаторного лікування №2,,
node/362744622,centrum medyczne,медичний центр,,
way/175567197,Centrum Medyczne w Łańcucie,Медичний центр у Ланьцуті,,
way/227665985,Centrum Onkologii Ziemi Lubelskiej im. św. Jana z Dukli,Люблінський онкологічний диспансер вул. Іоанна з Дуклі,,
way/297817414,Centrum Opieki Medycznej,Центр Медичної Допомоги,,
way/548596456,Dom Opieki Społecznej,Будинок соціальної допомоги,,
way/331459934,Domowy Szpital,Домашня лікарня,,
way/273706301,Fundacja Hospicjum dla Dzieci,Фонд «Хоспіс для дітей».,https://www.hospicjum-podkarpackie.pl/,
way/185391358,"I Klinika Psychiatrii, Psychoterapii i Wczesnej Interwencji SPSK 1","Клініка Психіатрії, Психотерапії та Раннього втручання СПСК 1",,
way/59920556,I Szpital Wojskowy,Військовий Госпіталь,,
node/2359218763,Instytut Medycyny Wsi,Інститут сільської медицини,,
node/4234179934,Izba przyjęć,Кімната Невідкладної Допомоги,,
node/2359319939,Katedra i Zakład Medycyny Sądowej,Кафедра Судової Медицини,,
node/2415991313,Klinika Okulistyczna,Офтальмологічна клініка,,
way/211552800,Niepubliczny Ośrodek Zdrowia,Недержавний центр здоров'я,,
way/315582007,Niepubliczny Zakład Opieki Zdrowotnej,Недержавний Заклад Охорони Здоров’я,,
node/3206861787,Niepubliczny Zakład Opieki Zdrowotnej Ośrodek Zdrowia,Недержавний Заклад Охорони Здоров’я «Центр здоров’я».,,
node/362744603,NZOZ,Недержавний Заклад Охорони Здоров’я (НЗОЗ) ,,
way/292019184,NZOZ Analco,Недержавний Заклад Охорони Здоров’я (НЗОЗ) Аналцо,,
node/2450451539,NZOZ Przychodnia,Недержавний Заклад Охорони Здоров’я (НЗОЗ) Диспансер,,
node/3658893553,Oddział Dializoterapi,Діалізне відділення,,
node/3658893554,Oddział Nefrologii,Відділення нефрології,,
node/6426063403,Okulistyka s.c.,Офтальмологія С.Ц.,,
way/891040247,Okulistyka s.c.,Офтальмологія С.Ц.,,
way/375309170,Ośrodek Diagnostyczno-Leczniczy,Діагностично-лікувальний центр,,
way/738308806,Ośrodek Kardiologii Inwazyjnej IKARDIA,Центр інвазивної кардіології IKARDIA,http://szpital.ikardia.pl/,
node/851384506,Ośrodek Zdrowia,Центр здоров'я,,
node/1358134263,Ośrodek Zdrowia,Центр здоров'я,,
node/1542187129,Ośrodek Zdrowia,Центр здоров'я,,
node/2607823737,Ośrodek Zdrowia,Центр здоров'я,,
way/201638344,Ośrodek zdrowia,Центр здоров'я,,
way/229797727,Ośrodek Zdrowia,Центр здоров'я,,
way/261656461,Ośrodek Zdrowia,Центр здоров'я,,
way/301662363,ośrodek zdrowia,Центр здоров'я,,
way/454723066,Ośrodek Zdrowia,Центр здоров'я,,
way/222584078,Ośrodek Zdrowia w Przysietnicy,Центр здоров'я,,
node/4322744332,Poliklinika,Поліклініка,,
way/289079564,Poliklinika MSWiA,Поліклініка Міністерства внутрішніх справ та управління ,,
way/187430937,Powiatowy Szpital Specjalistyczny w Stalowej Woli,Повітова спеціалізована лікарня в Стальовій Волі,,
way/375463537,Prywatna Klinika Chirurgii i Medycyny Estetycznej,Приватна клініка хірургії та естетичної медицини,,
node/678890900,Przychodnia Lekarska,Медична Поліклініка,,
node/710646409,Przychodnia Lekarska w Turbi,Медична Поліклініка в Турбі,,
node/575122926,Przychodnia nr2,Медична Поліклініка №2,,
way/166702335,Przychodnia Pod Klasztorem,Медична Поліклініка под Клашторем,http://www.przychodniapodklasztorem.pl,
node/2257920342,Przychodnia POZ,Медична Поліклініка БМО (Базове медичне обслуговування),,
way/313908794,Samodzielne Publiczne Sanatorium Rehabilitacyjne im. Janusza Korczaka,Самостійний Громадський Реабілітаційний Санаторій Януш Корчак,http://sanatorium-krasnobrod.pl/,
node/2410102175,Samodzielny Publiczny Szpital Kliniczny nr 1,Самостійна державна клінічна лікарня No1,,
way/288098727,Samodzielny Publiczny Szpital Kliniczny Nr 4 w Lublinie,Незалежна державна клінічна лікарня № 4 у Любліні,,
way/146492539,Samodzielny Publiczny Szpital Wojewódzki im. Papieża Jana Pawła II,Незалежна Державна Обласна Лікарня Папи Яна Павла II,,
node/2298767077,Samodzielny Publiczny Wojewódzki Szpital Psychiatryczny,Незалежна Державна Обласна Психіатрична Лікарня,,
way/844574788,Samodzielny Publiczny Zakład Opieki Zdrowotnej Gruźlicy i Chorób Płuc,Незалежний громадський центр туберкульозу та легеневих захворювань,,
node/956870945,Samodzielny Publiczny Zakład Opieki Zdrowotnej im. Henryka Jankowskiego,Незалежний Центр Громадського Здоров'я ім. Генрик Янковський,,
way/824713971,Samodzielny Publiczny Zakład Opieki Zdrowotnej w Bychawie- Szpital Powiatowy,Незалежний Центр Громадського Здоров'я в Бихаві - районна лікарня,,
way/732093250,Samodzielny Publiczny Zakład Opieki Zdrowotnej w Radzyniu Podlaskim,Незалежний Центр Громадської Охорони Здоров’я в Радзині Підляському,https://spzozrp.pl/,
