id,name,office,name:uk,name:ru,description:uk,description:ru
relation/1442225,Dolnośląski Urząd Wojewódzki,government,Нижньосілезьке Воєводське Управління,Управление Нижнесилезского воеводства,Отримати візу можна тут,Получить визу можно здесь
node/5760441376,"Dolnośląski Urząd Wojewódzki, Delegatura w Jeleniej Górze",government,"Нижньосілезьке Воєводське Управління, представництво в Єленій-Ґурі","Управление Нижнесилезского воеводства, представительство в Еленей-Гуре",Отримати візу можна тут,Получить визу можно здесь
way/130072982,Kujawsko-Pomorski Urząd Wojewódzki,government,Куявсько-Поморське Воєводське Управління,Управление Куявско-Поморского воеводства,Отримати візу можна тут,Получить визу можно здесь
node/7623354980,Łódzki Urząd Wojewódzki w Łodzi,government,Лодзинське Воєводське Управління в Лодзі,Управление Лодзинского воеводства в Лодзи,Отримати візу можна тут,Получить визу можно здесь
way/106904619,Łódzki Urząd Wojewódzki. Wydział Spraw Obywatelskich i Cudzoziemców. Oddział paszportowy.,government,Лодзинське Воєводське Управління. Відділ у Справах Громадян та Іноземців. Паспортний відділ,Управление Лодзинского воеводства. Отдел по делам граждан и иностранцев. Паспортный отдел,Отримати візу можна тут,Получить визу можно здесь
relation/568864,Lubelski Urząd Wojewódzki,government,Люблінське Воєводське Управління,Управление Люблинского воеводства,Отримати візу можна тут,Получить визу можно здесь
way/55897019,Lubelski Urząd Wojewódzki,government,Люблінське Воєводське Управління,Управление Люблинского воеводства,Отримати візу можна тут,Получить визу можно здесь
node/9495777387,Lubelski Urząd Wojewódzki Delegatura w Chełmie,government,"Люблінське Воєводське Управління, представництво в Хелмі","Управление Люблинского воеводства, представительство в Хелме",Отримати візу можна тут,Получить визу можно здесь
way/193925979,Lubuski Urząd Wojewódzki,government,Любуське Воєводське Управління,Управление Любушского воеводства,Отримати візу можна тут,Получить визу можно здесь
way/154353710,Małopolski Urząd Wojewódzki,government,Малопольське Воєводське Управління,Управление Малопольского воеводства,Отримати візу можна тут,Получить визу можно здесь
