id,place,name,name:uk,name:ru,uwagi
node/2118960768,village,Adamów,Адамув,,
node/1859389548,village,Adelina,Аделіна,,
node/31878367,village,Adolfin,Адольфін,,
node/692614778,village,Aksmanice,Аксманіце,,
node/2118960769,village,Aleksandria Krzywowolska,Александрія Кшивовольська,,
node/2118410087,village,Aleksandria Niedziałowska,Александрія Недзяловська,,
node/2688315392,village,Aleksandrówka,Александрувка,,
node/31899550,village,Alojzów,Алойзув,,
node/371978690,village,Alojzów,Алойзув,,
node/31893063,village,Ameryka,Америка,,
node/31878339,village,Andrzejów,Анджеюв,,
node/31899545,village,Andrzejówka,Анджеювка,,
node/31899542,village,Annopol,Аннополь,,
node/841155321,village,Annopol,Аннополь,,
node/661282601,village,Antoniki,Антонікі,,
node/31899531,village,Antoniówka,Антонювка,,
node/31878277,village,Anusin,Анусін,,
node/31899518,village,Aurelin,Аурелін,,
node/692614020,village,Babice,Бабіце,,
node/692613999,village,Bachórzec,Бахужец,,
node/692614835,village,Bachów,Бахув,,
node/31878270,village,Bachus,Бахус,,
node/2080603202,village,Bakus-Wanda,Бакус-Ванда,,
node/31899508,village,Bałaje,Балає,,
node/692614252,village,Bandrów Narodowy,Бандрув-Народови,,
node/31878254,village,Bańkowszczyzna,Баньковщизна,,
node/371949049,village,Barbarówka,Барбарувка,,
node/1859320631,village,Barycz,Барич,,
node/31899461,village,Basznia Dolna,Башня Дольна,,
node/31899460,village,Basznia Górna,Башня Ґурна,,
node/560409523,village,Batycze,Батиче,,
node/692614126,village,Bełwin,Бельвін,,
node/3763151471,village,Bełżec,Бельжец,,
node/2088291971,village,Berdyszcze,Бердище,,
node/692614125,village,Bereżki,Бережкі,,
node/371978046,village,Bereżnica,Бережніца,,
node/1859515078,village,Bezek,Безек,,
node/2085125838,village,Bezek Dębiński,Безек Дембінські,,
node/2085169962,village,Bezek Kolonia,Безек Колонія,,
node/1859414282,village,Białopole,Бялополе,,
node/31899428,village,Białoskóry,Бялоскури,,
node/31899427,village,Białowody,Бяловоди,,
node/31878064,village,Bielin,Бєлін,,
node/2118960770,village,Bieniów,Бєнюв,,
node/31899335,village,Bihale,Біхале,,
node/692614000,village,Bircza,Бірча,,
node/692614458,village,Bobrówka,Бобрувка,,
node/31899205,village,Bogucice,Боґучіце,,
node/692614682,village,Boguszówka,Боґушувка,,
node/31899201,village,Bokinia,Бокінія,,
node/560409124,village,Bolestraszyce,Болестрашице,,
node/692614567,village,Boratyn,Боратин,,
node/31899166,village,Borchów,Борхув,,
node/31898991,village,Borowa Góra,Борова Ґура,,
node/1859446956,village,Borownica,Боровніца,,
node/729755003,village,Borowo,Борово,,
node/31889097,village,Borsuk,Борсук,,
node/692614199,village,Brelików,Брелікув,,
node/31898999,village,Brodzica,Бродзіца,,
node/692615071,village,Brylińce,Бриньце,,
node/692614523,village,Brzegi Dolne,Бжеґі Дольне,,
node/692614686,village,Brzeżawa,Бжежава,,
node/31877869,village,Brzeziny,Бжежіни,,
node/371948715,village,Brzeziny,Бжежіни,,
node/1859515115,village,Brzeźno,Бжежно,,
node/31877847,village,Brzozowiec,Бжозовєц,,
node/692614692,village,Brzuska,Бжуска,,
node/31898663,village,Budomierz,Будомеж,Будомир,
node/31898662,village,Budy,Буди,,
node/31898626,village,Budynin,Будинін,,
node/692614438,village,Budzyń,Будзинь,,
node/368747017,village,Bukowa Mała,Букова Мала,,
node/368746568,village,Bukowa Wielka,Букова Велька,,
node/31898574,village,Busieniec,Бусенець,,
node/371977874,village,Buśno,Бусьно,,
node/368746586,village,Busówno,Бусувно,,
node/2087021472,village,Busówno-Kolonia,Бусувно-Колонія,,
node/1933107939,village,Buszkowice,Бушковіце,,
node/560408831,village,Buszkowiczki,Бушковічкі,,
node/31877671,village,Buza,Буза,,
node/692614313,village,Bystre,Бистре,,
node/523349303,village,Bystrowice,Бисровіце,,
node/31894843,village,Cegielnia,Цеґєльня,,
node/31898512,village,Cetula,Цетула,,
node/31898495,village,Cewków,Цевкув,,
